무기,적,틀,ID,변형,기준,승률,Δpp(틀 기준),빈카드 승률(같은 빛),Δ효과,사용/판,Δ효과÷사용,대역(Δ효과 ±5),은신 켜짐,배치
백우,잡몹4,std,YJ-D07,소문 표식 8,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D07,소문 표식 16,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D14,마침표 감 1,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D14,마침표 감 2,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D14,마침표 감 4,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D21,전염 표식 0,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D21,전염 표식 10,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D21,전염 표식 20,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
백우,잡몹4,std,YJ-D21,전염 표식 30,0.498,0.498,+0.0,0.498,+0.0,6.38,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D06,숨통 표식 10,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D06,숨통 표식 20,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D06,숨통 표식 40,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D07,소문 표식 4,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D07,소문 표식 8,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D07,소문 표식 16,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D14,마침표 감 1,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D14,마침표 감 2,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D14,마침표 감 4,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D21,전염 표식 0,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D21,전염 표식 10,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D21,전염 표식 20,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
적설,잡몹4,std,YJ-D21,전염 표식 30,0.501,0.501,+0.0,0.501,+0.0,7.20,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D06,숨통 표식 10,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D06,숨통 표식 20,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D06,숨통 표식 40,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D07,소문 표식 4,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D07,소문 표식 8,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D07,소문 표식 16,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D14,마침표 감 1,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D14,마침표 감 2,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D14,마침표 감 4,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D21,전염 표식 0,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D21,전염 표식 10,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D21,전염 표식 20,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
낙일,잡몹4,std,YJ-D21,전염 표식 30,0.490,0.490,+0.0,0.490,+0.0,5.67,+0.00,안,0.00,13
